address,type,size
0x4af220,float,4
0x4af300,float,4
0x4af338,float,4
0x4af354,float,4
0x4af388,float,4
0x4af58c,float,4
0x4af594,float,4
0x4af598,float,4
0x4af6fc,float,4
0x4af7bc,float,4
0x4af818,float,4
0x4af870,float,4
0x4b0098,float,4
0x4b0134,float,4
0x4b0138,float,4
0x4b013c,float,4
0x4b0140,float,4
0x4b0144,float,4
0x4b0148,float,4
0x4b014c,float,4
0x4b0150,float,4
0x4b0154,float,4
0x4b0158,float,4
0x4b0160,float,4
0x4b0170,float,4
0x4b0174,float,4
0x4b0178,float,4
0x4b017c,float,4
0x4b0180,float,4
0x4b0188,float,4
0x4b018c,float,4
0x4b0404,float,4
0x4b0414,float,4
0x4b0540,float,4
0x4b0548,float,4
0x4b0554,float,4
0x4b09c0,float,4
0x4b0b70,float,4
0x4b0b74,float,4
0x4b0af0,float,4
0x4b0af4,float,4
0x4b0ce0,float,4
0x4b0d0c,float,4
0x4b0d10,float,4
0x4b0d14,float,4
0x4b0d18,float,4
0x4b0d1c,float,4
0x4b0d70,float,4
0x4b0d74,float,4
0x4b0d78,float,4
0x4b0d7c,float,4
0x4b0ddc,float,4
0x4b0de0,float,4
0x4b0de4,float,4
0x4b0de8,float,4
0x4b0dec,float,4
0x4b0df0,float,8
0x4b1370,float,4
0x4b1384,float,4
0x4b1388,float,4
0x4b138c,float,4
0x4b1390,float,4
0x4b1398,float,4
0x4b139c,float,4
0x4b13a0,float,4
0x4b13a4,float,4
0x4b13b0,float,4
0x4b13b4,float,4
0x4b13e4,float,4
0x4b13e8,float,4
0x4b13f0,float,4
0x4b13f4,float,4
0x4b13f8,float,4
0x4b1420,float,4
0x4b1424,float,4
0x4b1434,float,4
0x4b1438,float,4
0x4b143c,float,4
0x4b1440,float,4
0x4b1444,float,4
0x4b146c,float,4
0x4b1470,float,4
0x4b1474,float,4
0x4b1478,float,4
0x4b147c,float,4
0x4b1480,float,4
0x4b1488,float,4
0x4b14c8,float,4
0x4b14cc,float,4
0x4b14f8,float,4
0x4b1504,float,4
0x4b1554,float,4
0x4b15dc,float,4
0x4b15e0,float,4
0x4b15e4,float,4
0x4b15e8,float,4
0x4b15ec,float,4
0x4b15f0,float,4
0x4b15f4,float,4
0x4b15f8,float,4
0x4b167c,float,4
0x4b1680,float,4
0x4b1684,float,4
0x4b1688,float,4
0x4b1e3c,float,4
0x4b2b00,float,4
0x4b2e70,float,4
0x4b2e74,float,4
0x4b2e78,float,4
0x4b2e7c,float,4
0x4b2e80,float,4
0x4b2e84,float,4
0x4b2e88,float,4
0x4b2ea8,float,4
0x4b2eac,float,4
0x4b2eb0,float,4
0x4b2ecc,float,4
0x4b2ed0,float,4
0x4b2ed4,float,4
0x4b2ef0,float,4
0x4b2ef4,float,4
0x4b2ef8,float,4
0x4b2efc,float,4
0x4b3514,float,4
0x4b3770,float,4
0x4b39c8,float,4
0x4b39cc,float,4
0x4b42b4,float,4
0x4b4700,float,4
0x4b4768,float,4
0x4b476c,float,4
0x4be234,float,4
